,Name,Age,Market Value,Starting Eleven,Minutes,Goal Involvement
172,Khvicha Kvaratskhelia,24,80.0,69,63,14
173,Marco Asensio,29,20.0,67,66,29
174,Ousmane Dembele,27,75.0,60,59,34
175,Desire Doue,19,60.0,55,59,16
176,Randal Kolo Muani,26,30.0,67,71,40
177,Gaetan Laborde,30,6.0,57,57,23
178,Evann Guessand,23,25.0,93,90,34
179,Sofiane Diop,24,12.0,27,36,18
180,Mohamed Ali Cho,21,15.0,70,60,13
181,Youssoufa Moukoko,20,10.0,7,8,7
182,Jeremie Boga,28,12.0,40,38,4
183,Badredine Bouanani,20,5.0,23,29,5
184,Alexis Claude Maurice,26,12.0,72,70,39
185,Oumar Diakite,21,7.0,67,60,16
186,Keito Nakamura,24,10.0,93,89,41
187,Mamadou Diakhon,19,1.5,17,27,9
188,Junya Ito,32,8.0,97,95,28
189,Marshall Munetsi,28,15.0,89,86,14
190,Ibrahim Sissoko,29,2.0,27,30,12
191,Augustine Boakye,24,3.0,27,27,9
192,Mathieu Cafaro,28,2.0,70,56,37
193,Lucas Stassin,20,7.0,79,72,52
194,Irvin Cardona,27,2.0,82,78,40
195,Zuriko Davitashvili,24,10.0,93,90,42
196,Goduine Koyalipou,25,1.8,57,47,19
197,Florian Sotoca,34,2.5,73,65,6
198,Anass Zaroury,24,8.0,48,46,9
199,Remy Labeau Lascary,22,2.5,20,24,9
200,Wesley Said,30,3.5,37,32,9
201,Angelo Fulgini,28,6.0,37,37,6
202,Zakaria Aboukhlal,25,12.0,73,69,29
203,Frank Magri,25,2.5,43,45,13
204,Shavy Babicka,24,3.0,37,43,16
205,Thijs Dallinga,24,12.0,75,72,30
206,Joshua King,33,2.0,61,54,22
